,billid,firstname,lastname,state,primaryorco,billstage,chambername
183,13,,Sires,,Co,ENGROSSED,Representative
184,13,,Veasey,,Co,ENGROSSED,Representative
185,13,,Velázquez,,Co,ENGROSSED,Representative
186,13,Wasserman,Schultz,,Co,ENGROSSED,Representative
187,13,Watson,Coleman,,Co,ENGROSSED,Representative
188,14,,Hirono,,Primary,ENGROSSED,Representative
189,14,,Schumer,,Co,ENGROSSED,Representative
190,14,,Durbin,,Co,ENGROSSED,Representative
191,14,,Murray,,Co,ENGROSSED,Representative
192,14,,Baldwin,,Co,ENGROSSED,Representative
193,14,,Blumenthal,,Co,ENGROSSED,Representative
194,14,,Booker,,Co,ENGROSSED,Representative
195,14,,Brown,,Co,ENGROSSED,Representative
196,14,,Carper,,Co,ENGROSSED,Representative
197,14,,Coons,,Co,ENGROSSED,Representative
198,14,Cortez,Masto,,Co,ENGROSSED,Representative
199,14,,Feinstein,,Co,ENGROSSED,Representative
200,14,,Gillibrand,,Co,ENGROSSED,Representative
201,14,,Kaine,,Co,ENGROSSED,Representative
202,14,,Klobuchar,,Co,ENGROSSED,Representative
203,14,,Leahy,,Co,ENGROSSED,Representative
204,14,,Markey,,Co,ENGROSSED,Representative
205,14,,Menendez,,Co,ENGROSSED,Representative
206,14,,Murphy,,Co,ENGROSSED,Representative
207,14,,Reed,,Co,ENGROSSED,Representative
208,14,,Sanders,,Co,ENGROSSED,Representative
209,14,,Schatz,,Co,ENGROSSED,Representative
210,14,Van,Hollen,,Co,ENGROSSED,Representative
211,14,,Warren,,Co,ENGROSSED,Representative
212,14,,Wyden,,Co,ENGROSSED,Representative
213,14,,Franken,,Co,ENGROSSED,Representative
214,15,,,,Primary,ENGROSSED,Representative
215,15,,,,Co,ENGROSSED,Representative
216,16,,,,Primary,ENGROSSED,Representative
217,16,,,,Co,ENGROSSED,Representative
218,17,,Schakowsky,,Primary,ENGROSSED,Representative
219,17,Wasserman,Schultz,,Co,ENGROSSED,Representative
220,17,Jackson,Lee,,Co,ENGROSSED,Representative
221,17,Watson,Coleman,,Co,ENGROSSED,Representative
222,17,,Quigley,,Co,ENGROSSED,Representative
223,17,,Rush,,Co,ENGROSSED,Representative
224,17,,Lawrence,,Co,ENGROSSED,Representative
225,17,,Foster,,Co,ENGROSSED,Representative
226,17,,Moulton,,Co,ENGROSSED,Representative
227,18,,Nadler,,Co,ENROLLED,Representative
228,18,,Pelosi,,Co,ENROLLED,Representative
229,18,,Hoyer,,Co,ENROLLED,Representative
230,18,,Clyburn,,Co,ENROLLED,Representative
231,18,,Richmond,,Co,ENROLLED,Representative
232,18,,Takano,,Co,ENROLLED,Representative
233,18,Watson,Coleman,,Co,ENROLLED,Representative
234,18,,Butterfield,,Co,ENROLLED,Representative
235,18,,Grijalva,,Co,ENROLLED,Representative
236,18,,Soto,,Co,ENROLLED,Representative
237,19,,Duckworth,,Primary,ENROLLED,Representative
238,19,,Harris,,Co,ENROLLED,Representative
239,19,,Shaheen,,Co,ENROLLED,Representative
240,19,Van,Hollen,,Co,ENROLLED,Representative
241,19,,Warren,,Co,ENROLLED,Representative
242,19,,Durbin,,Co,ENROLLED,Representative
243,19,,Heitkamp,,Co,ENROLLED,Representative
244,19,,Baldwin,,Co,ENROLLED,Representative
245,19,,Stabenow,,Co,ENROLLED,Representative
246,19,,Hassan,,Co,ENROLLED,Representative
247,19,,King,,Co,ENROLLED,Representative
248,19,,Brown,,Co,ENROLLED,Representative
249,19,,Cantwell,,Co,ENROLLED,Representative
250,19,,Blumenthal,,Co,ENROLLED,Representative
251,19,,Markey,,Co,ENROLLED,Representative
252,19,,Feinstein,,Co,ENROLLED,Representative
253,19,,Hirono,,Co,ENROLLED,Representative
254,19,,Murray,,Co,ENROLLED,Representative
255,19,,Nelson,,Co,ENROLLED,Representative
256,20,,Duffy,,Primary,ENROLLED,Representative
257,20,,,,Co,ENROLLED,Representative
258,21,,Sanders,,Primary,ENROLLED,Representative
259,21,,,,Co,ENROLLED,Representative
260,22,,Cicilline,,Primary,ENROLLED,Representative
261,22,,Bustos,,Co,ENROLLED,Representative
262,22,,Cartwright,,Co,ENROLLED,Representative
263,22,,Crowley,,Co,ENROLLED,Representative
264,22,,Correa,,Co,ENROLLED,Representative
265,22,,Evans,,Co,ENROLLED,Representative
266,22,,Blumenauer,,Co,ENROLLED,Representative
267,22,Wasserman,Schultz,,Co,ENROLLED,Representative
268,22,,Beyer,,Co,ENROLLED,Representative
269,22,Blunt,Rochester,,Co,ENROLLED,Representative
270,22,,Peters,,Co,ENROLLED,Representative
271,22,,Lawrence,,Co,ENROLLED,Representative
272,22,,Gallego,,Co,ENROLLED,Representative
273,22,,Aguilar,,Co,ENROLLED,Representative
274,22,,Foster,,Co,ENROLLED,Representative
275,22,,Himes,,Co,ENROLLED,Representative
276,22,,Levin,,Co,ENROLLED,Representative
277,22,,Meng,,Co,ENROLLED,Representative
278,22,,Ruiz,,Co,ENROLLED,Representative
279,22,,Barragán,,Co,ENROLLED,Representative
280,22,,ORourke,,Co,ENROLLED,Representative
281,22,,Lofgren,,Co,ENROLLED,Representative
282,22,,Huffman,,Co,ENROLLED,Representative
283,22,,Moulton,,Co,ENROLLED,Representative
284,22,,Perlmutter,,Co,ENROLLED,Representative
285,22,,Capuano,,Co,ENROLLED,Representative
286,22,,Pocan,,Co,ENROLLED,Representative
287,22,,Soto,,Co,ENROLLED,Representative
288,22,,Bera,,Co,ENROLLED,Representative
289,22,,Schneider,,Co,ENROLLED,Representative
290,22,,Gabbard,,Co,ENROLLED,Representative
291,22,,Kind,,Co,ENROLLED,Representative
292,22,,Takano,,Co,ENROLLED,Representative
293,22,,Cárdenas,,Co,ENROLLED,Representative
294,22,,Grijalva,,Co,ENROLLED,Representative
295,22,,Veasey,,Co,ENROLLED,Representative
296,22,,Kilmer,,Co,ENROLLED,Representative
297,22,,Loebsack,,Co,ENROLLED,Representative
298,22,,Shea-Porter,,Co,ENROLLED,Representative
299,22,,Norcross,,Co,ENROLLED,Representative
300,22,Watson,Coleman,,Co,ENROLLED,Representative
301,22,,Cooper,,Co,ENROLLED,Representative
302,22,,Vargas,,Co,ENROLLED,Representative
303,22,,Jeffries,,Co,ENROLLED,Representative
304,22,,Napolitano,,Co,ENROLLED,Representative
305,22,,Espaillat,,Co,ENROLLED,Representative
306,22,,Delaney,,Co,ENROLLED,Representative
307,22,,Hoyer,,Co,ENROLLED,Representative
308,22,,Torres,,Co,ENROLLED,Representative
309,22,,Tsongas,,Co,ENROLLED,Representative
310,22,,Sinema,,Co,ENROLLED,Representative
311,22,,Polis,,Co,ENROLLED,Representative
312,22,,DeSaulnier,,Co,ENROLLED,Representative
313,22,,Dingell,,Co,ENROLLED,Representative
314,22,,Lowenthal,,Co,ENROLLED,Representative
315,22,,OHalleran,,Co,ENROLLED,Representative
316,22,,Yarmuth,,Co,ENROLLED,Representative
317,22,,Payne,,Co,ENROLLED,Representative
318,22,,Beatty,,Co,ENROLLED,Representative
319,22,,Carbajal,,Co,ENROLLED,Representative
320,22,,Gottheimer,,Co,ENROLLED,Representative
321,22,,Adams,,Co,ENROLLED,Representative
322,22,,Suozzi,,Co,ENROLLED,Representative
323,22,,Kildee,,Co,ENROLLED,Representative
324,22,,Panetta,,Co,ENROLLED,Representative
325,22,,Pelosi,,Co,ENROLLED,Representative
326,22,,Pallone,,Co,ENROLLED,Representative
327,22,,Demings,,Co,ENROLLED,Representative
328,22,,Eshoo,,Co,ENROLLED,Representative
329,22,,Kihuen,,Co,ENROLLED,Representative
330,22,,McEachin,,Co,ENROLLED,Representative
331,22,,Jayapal,,Co,ENROLLED,Representative
332,22,,Neal,,Co,ENROLLED,Representative
333,22,,Rosen,,Co,ENROLLED,Representative
334,22,,Hanabusa,,Co,ENROLLED,Representative
335,22,,Heck,,Co,ENROLLED,Representative
336,22,,Crist,,Co,ENROLLED,Representative
337,22,,Raskin,,Co,ENROLLED,Representative
338,22,,Kennedy,,Co,ENROLLED,Representative
339,22,,Vela,,Co,ENROLLED,Representative
340,22,,Langevin,,Co,ENROLLED,Representative
341,22,,Butterfield,,Co,ENROLLED,Representative
342,22,,Costa,,Co,ENROLLED,Representative
343,22,,Roybal-Allard,,Co,ENROLLED,Representative
344,22,,Nadler,,Co,ENROLLED,Representative
345,22,,DeGette,,Co,ENROLLED,Representative
346,22,,DeFazio,,Co,ENROLLED,Representative
347,22,,Norton,,Co,ENROLLED,Representative
348,22,,Pingree,,Co,ENROLLED,Representative
349,22,,Cummings,,Co,ENROLLED,Representative
350,22,,Sherman,,Co,ENROLLED,Representative
351,22,,Kaptur,,Co,ENROLLED,Representative
352,22,Jackson,Lee,,Co,ENROLLED,Representative
353,22,,Rush,,Co,ENROLLED,Representative
354,22,,Peterson,,Co,ENROLLED,Representative
355,22,,Ros-Lehtinen,,Co,ENROLLED,Representative
356,22,,Meeks,,Co,ENROLLED,Representative
357,22,,Connolly,,Co,ENROLLED,Representative
358,22,,Bass,,Co,ENROLLED,Representative
359,22,,Moore,,Co,ENROLLED,Representative
360,22,,McCollum,,Co,ENROLLED,Representative
361,22,,Ellison,,Co,ENROLLED,Representative
362,22,,McNerney,,Co,ENROLLED,Representative
363,22,,Lee,,Co,ENROLLED,Representative
364,22,,Lynch,,Co,ENROLLED,Representative
365,22,,Velázquez,,Co,ENROLLED,Representative
366,22,,Welch,,Co,ENROLLED,Representative
367,22,,Doggett,,Co,ENROLLED,Representative
368,22,,Matsui,,Co,ENROLLED,Representative
369,22,,Walz,,Co,ENROLLED,Representative
370,22,,Visclosky,,Co,ENROLLED,Representative
371,22,,Sánchez,,Co,ENROLLED,Representative
372,22,,Cleaver,,Co,ENROLLED,Representative
373,22,,Sires,,Co,ENROLLED,Representative
374,22,,Courtney,,Co,ENROLLED,Representative
375,22,,Keating,,Co,ENROLLED,Representative
376,22,,Hastings,,Co,ENROLLED,Representative
377,22,,Serrano,,Co,ENROLLED,Representative
378,22,,Lowey,,Co,ENROLLED,Representative
379,22,,Nolan,,Co,ENROLLED,Representative
380,22,,Schakowsky,,Co,ENROLLED,Representative
381,22,,Pascrell,,Co,ENROLLED,Representative
382,22,,Schiff,,Co,ENROLLED,Representative
383,22,,Cohen,,Co,ENROLLED,Representative
384,22,,Gutiérrez,,Co,ENROLLED,Representative
385,22,,Sablan,,Co,ENROLLED,Representative
386,22,,DeLauro,,Co,ENROLLED,Representative
387,22,,Ruppersberger,,Co,ENROLLED,Representative
388,22,,Conyers,,Co,ENROLLED,Representative
389,22,,Clay,,Co,ENROLLED,Representative
390,22,,Schrader,,Co,ENROLLED,Representative
391,22,,Garamendi,,Co,ENROLLED,Representative
392,22,,Bordallo,,Co,ENROLLED,Representative
393,22,,DelBene,,Co,ENROLLED,Representative
394,22,,Sarbanes,,Co,ENROLLED,Representative
395,22,,Deutch,,Co,ENROLLED,Representative
396,22,,Quigley,,Co,ENROLLED,Representative
397,22,,Engel,,Co,ENROLLED,Representative
398,22,,Tonko,,Co,ENROLLED,Representative
399,22,,Titus,,Co,ENROLLED,Representative
400,22,,Speier,,Co,ENROLLED,Representative
401,22,,Slaughter,,Co,ENROLLED,Representative
402,22,,Clyburn,,Co,ENROLLED,Representative
403,22,,Cuellar,,Co,ENROLLED,Representative
404,22,,Bonamici,,Co,ENROLLED,Representative
405,22,,Khanna,,Co,ENROLLED,Representative
406,22,,Krishnamoorthi,,Co,ENROLLED,Representative
407,22,,Plaskett,,Co,ENROLLED,Representative
408,22,,Richmond,,Co,ENROLLED,Representative
409,23,,Beyer,,Primary,ENROLLED,Representative
410,23,,Dingell,,Co,ENROLLED,Representative
411,23,,Cicilline,,Co,ENROLLED,Representative
412,23,,Tonko,,Co,ENROLLED,Representative
413,23,,Kind,,Co,ENROLLED,Representative
414,23,,Cárdenas,,Co,ENROLLED,Representative
415,23,,Butterfield,,Co,ENROLLED,Representative
416,23,,Schakowsky,,Co,ENROLLED,Representative
417,23,,Keating,,Co,ENROLLED,Representative
418,23,,Norton,,Co,ENROLLED,Representative
419,23,,Jeffries,,Co,ENROLLED,Representative
420,24,,Merkley,,Primary,ENROLLED,Representative
421,24,,Baldwin,,Co,ENROLLED,Representative
422,24,,Booker,,Co,ENROLLED,Representative
423,24,,Bennet,,Co,ENROLLED,Representative
424,24,,Blumenthal,,Co,ENROLLED,Representative
425,24,,Brown,,Co,ENROLLED,Representative
426,24,,Cantwell,,Co,ENROLLED,Representative
427,24,,Cardin,,Co,ENROLLED,Representative
428,24,,Carper,,Co,ENROLLED,Representative
429,24,,Casey,,Co,ENROLLED,Representative
430,24,,Coons,,Co,ENROLLED,Representative
431,24,Cortez,Masto,,Co,ENROLLED,Representative
432,24,,Duckworth,,Co,ENROLLED,Representative
433,24,,Durbin,,Co,ENROLLED,Representative
434,24,,Feinstein,,Co,ENROLLED,Representative
435,24,,Franken,,Co,ENROLLED,Representative
436,24,,Gillibrand,,Co,ENROLLED,Representative
437,24,,Harris,,Co,ENROLLED,Representative
438,24,,Hassan,,Co,ENROLLED,Representative
439,24,,Heinrich,,Co,ENROLLED,Representative
440,24,,Heitkamp,,Co,ENROLLED,Representative
441,24,,Hirono,,Co,ENROLLED,Representative
442,24,,Kaine,,Co,ENROLLED,Representative
443,24,,King,,Co,ENROLLED,Representative
444,24,,Klobuchar,,Co,ENROLLED,Representative
445,24,,Leahy,,Co,ENROLLED,Representative
446,24,,Markey,,Co,ENROLLED,Representative
447,24,,McCaskill,,Co,ENROLLED,Representative
448,24,,Menendez,,Co,ENROLLED,Representative
449,24,,Murphy,,Co,ENROLLED,Representative
450,24,,Murray,,Co,ENROLLED,Representative
451,24,,Nelson,,Co,ENROLLED,Representative
452,24,,Peters,,Co,ENROLLED,Representative
453,24,,Reed,,Co,ENROLLED,Representative
454,24,,Sanders,,Co,ENROLLED,Representative
455,24,,Schatz,,Co,ENROLLED,Representative
456,24,,Schumer,,Co,ENROLLED,Representative
457,24,,Shaheen,,Co,ENROLLED,Representative
458,24,,Stabenow,,Co,ENROLLED,Representative
459,24,,Tester,,Co,ENROLLED,Representative
460,24,,Udall,,Co,ENROLLED,Representative
461,24,Van,Hollen,,Co,ENROLLED,Representative
462,24,,Warner,,Co,ENROLLED,Representative
463,24,,Warren,,Co,ENROLLED,Representative
464,24,,Whitehouse,,Co,ENROLLED,Representative
465,24,,Wyden,,Co,ENROLLED,Representative
466,25,,Blumenthal,,Primary,ENROLLED,Representative
467,25,,Sanders,,Co,ENROLLED,Representative
468,25,,Markey,,Co,ENROLLED,Representative
469,25,,Durbin,,Co,ENROLLED,Representative
470,25,,Merkley,,Co,ENROLLED,Representative
471,25,,Kaine,,Co,ENROLLED,Representative
472,25,,Baldwin,,Co,ENROLLED,Representative
473,25,,Wyden,,Co,ENROLLED,Representative
474,25,,Hirono,,Co,ENROLLED,Representative
475,26,,,,Co,INTRODUCED,Representative
476,27,Watson,Coleman,,Primary,INTRODUCED,Representative
477,27,,Aguilar,,Co,INTRODUCED,Representative
478,27,,Blumenauer,,Co,INTRODUCED,Representative
479,27,,Carbajal,,Co,INTRODUCED,Representative
480,27,,Cicilline,,Co,INTRODUCED,Representative
481,27,,Cohen,,Co,INTRODUCED,Representative
482,27,,Conyers,,Co,INTRODUCED,Representative
483,27,,Ellison,,Co,INTRODUCED,Representative
484,27,,Evans,,Co,INTRODUCED,Representative
485,27,,Garamendi,,Co,INTRODUCED,Representative
