,billid,firstname,lastname,state,primaryorco,representativeid,billstage,chambername,civid
885,315,,Ryan,Ohio,Co,262,INTRODUCED,Senator,
886,315,,Wilson,Florida,Co,278,INTRODUCED,Senator,
887,315,,Swalwell,California,Co,361,INTRODUCED,Senator,
888,318,,Clarke,New York,Co,330,INTRODUCED,Senator,
889,320,Eddie B,Johnson,Texas,Primary,117,INTRODUCED,Senator,184
890,320,Eddie B,Johnson,Texas,Primary,113,INTRODUCED,Senator,184
891,320,,Clark,Massachusetts,Co,347,INTRODUCED,Senator,
892,320,,Price,North Carolina,Co,288,INTRODUCED,Senator,
893,320,,Esty,Connecticut,Co,337,INTRODUCED,Senator,119
894,320,Ted,Lieu,California,Co,378,INTRODUCED,Senator,
895,320,Danny K,Davis,Illinois,Co,187,INTRODUCED,Senator,
896,320,Danny K,Davis,Illinois,Co,158,INTRODUCED,Senator,
897,324,,Lewis,Georgia,Primary,221,INTRODUCED,Senator,
898,325,Eddie B,Johnson,Texas,Primary,117,INTRODUCED,Senator,184
899,325,Eddie B,Johnson,Texas,Primary,113,INTRODUCED,Senator,184
900,325,,Carson,Indiana,Co,202,INTRODUCED,Senator,
901,325,,Clarke,New York,Co,330,INTRODUCED,Senator,
902,325,,Thompson,Mississippi,Co,155,INTRODUCED,Senator,
903,325,,Bishop,Georgia,Co,9,INTRODUCED,Senator,
904,325,,Lewis,Georgia,Co,221,INTRODUCED,Senator,
905,325,Al,Green,Texas,Co,132,INTRODUCED,Senator,
906,325,Al,Green,Texas,Co,128,INTRODUCED,Senator,
907,325,,Kelly,Illinois,Co,177,INTRODUCED,Senator,
908,325,,Lawson,Florida,Co,249,INTRODUCED,Senator,
909,325,,Sewell,Alabama,Co,172,INTRODUCED,Senator,
910,325,Danny K,Davis,Illinois,Co,187,INTRODUCED,Senator,
911,325,Danny K,Davis,Illinois,Co,158,INTRODUCED,Senator,
912,326,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Senator,184
913,326,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Senator,184
914,326,,Brown,Maryland,Co,304,INTRODUCED,Senator,42
915,326,,Lewis,Georgia,Co,221,INTRODUCED,Senator,
916,327,,Costello,Pennsylvania,Co,308,INTRODUCED,Senator,
917,328,,Johnson,Georgia,Co,0,INTRODUCED,Senator,184
918,328,Brendan F,Boyle,Pennsylvania,Co,315,INTRODUCED,Senator,
