,billid,firstname,lastname,state,primaryorco,representativeid,billstage,chambername
205,44,,Wilson,Florida,Co,278,INTRODUCED,Representative
206,44,,Lewis,Georgia,Co,221,INTRODUCED,Representative
207,44,,Clarke,New York,Co,330,INTRODUCED,Representative
208,44,,Clark,Massachusetts,Co,347,INTRODUCED,Representative
209,45,,Brown,Maryland,Primary,304,INTRODUCED,Representative
210,45,,Clarke,New York,Co,330,INTRODUCED,Representative
211,45,,Wilson,Florida,Co,278,INTRODUCED,Representative
212,56,Al,Green,Texas,Primary,132,INTRODUCED,Representative
213,56,Al,Green,Texas,Primary,128,INTRODUCED,Representative
214,57,,Murphy,Florida,Co,264,INTRODUCED,Representative
215,60,Carolyn B,Maloney,New York,Primary,329,INTRODUCED,Senator
216,60,Carolyn B,Maloney,New York,Primary,322,INTRODUCED,Senator
217,64,,Swalwell,California,Co,361,,
218,64,Ted,Lieu,California,Co,378,,
219,65,,Clarke,New York,Co,330,INTRODUCED,Representative
220,65,,Brown,Maryland,Co,304,INTRODUCED,Representative
221,65,,Clark,Massachusetts,Co,347,INTRODUCED,Representative
222,65,,Bishop,Georgia,Co,9,INTRODUCED,Representative
223,65,,Esty,Connecticut,Co,337,INTRODUCED,Representative
224,65,,Kuster,New Hampshire,Co,345,INTRODUCED,Representative
225,65,David,Scott,Georgia,Co,230,INTRODUCED,Representative
226,65,David,Scott,Georgia,Co,216,INTRODUCED,Representative
227,67,,Curbelo,Florida,Co,45,,
228,67,,Young,Alaska,Co,77,,
229,67,Sean P,Maloney,New York,Co,329,,
230,67,Sean P,Maloney,New York,Co,322,,
231,67,,King,New York,Co,336,,
232,68,,Young,Iowa,Primary,125,,
233,68,Rodney,Davis,Illinois,Co,187,,
234,68,Rodney,Davis,Illinois,Co,158,,
235,68,,Joyce,Ohio,Co,261,,
236,68,Mimi,Walters,California,Co,394,,
237,68,,Brooks,Indiana,Co,201,,
238,68,,King,New York,Co,336,,
239,68,,Curbelo,Florida,Co,45,,
240,69,,Clarke,New York,Primary,330,INTRODUCED,Senator
241,69,,Carson,Indiana,Co,202,INTRODUCED,Senator
242,71,,Wilson,Florida,Co,278,INTRODUCED,Senator
243,73,,Thompson,Mississippi,Co,155,INTRODUCED,Representative
244,75,,Collins,New York,Co,48,INTRODUCED,Senator
245,75,,King,New York,Co,336,INTRODUCED,Senator
246,75,,Smith,New Jersey,Co,323,INTRODUCED,Senator
247,79,Judy,Chu,California,Primary,388,INTRODUCED,Senator
248,82,,Clarke,New York,Co,330,INTRODUCED,Senator
249,82,,Carson,Indiana,Co,202,INTRODUCED,Senator
250,82,Maxine,Waters,California,Co,383,INTRODUCED,Senator
251,82,,Lewis,Georgia,Co,221,INTRODUCED,Senator
252,82,,Brady,Pennsylvania,Co,316,INTRODUCED,Senator
253,82,,Wilson,Florida,Co,278,INTRODUCED,Senator
254,89,Al,Green,Texas,Primary,132,,
255,89,Al,Green,Texas,Primary,128,,
256,94,,Kelly,Illinois,Primary,177,,
257,95,,Swalwell,California,Co,361,,
258,96,,Carson,Indiana,Co,202,INTRODUCED,Representative
259,96,,Brown,Maryland,Co,304,INTRODUCED,Representative
260,96,,Clarke,New York,Co,330,INTRODUCED,Representative
261,96,,Lewis,Georgia,Co,221,INTRODUCED,Representative
262,96,Maxine,Waters,California,Co,383,INTRODUCED,Representative
263,96,,Bishop,Georgia,Co,9,INTRODUCED,Representative
264,96,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Representative
