billid,firstname,lastname,state,primaryorco
13,nan,Bass,nan,Co
13,nan,Beatty,nan,Co
13,nan,Beyer,nan,Co
13,nan,Butterfield,nan,Co
13,nan,Capuano,nan,Co
13,nan,Carbajal,nan,Co
13,nan,Clay,nan,Co
13,nan,Cleaver,nan,Co
13,nan,Clyburn,nan,Co
13,nan,Crist,nan,Co
13,nan,DeFazio,nan,Co
13,nan,Ellison,nan,Co
13,nan,Evans,nan,Co
13,nan,Fudge,nan,Co
13,nan,Gutiérrez,nan,Co
13,nan,Hastings,nan,Co
13,nan,Huffman,nan,Co
13,Jackson,Lee,nan,Co
13,nan,Jeffries,nan,Co
13,nan,Lawrence,nan,Co
13,nan,Lee,nan,Co
13,nan,Lynch,nan,Co
13,nan,Meeks,nan,Co
13,nan,Moore,nan,Co
13,nan,Norton,nan,Co
13,nan,Pallone,nan,Co
13,nan,Payne,nan,Co
13,nan,Pocan,nan,Co
13,nan,Quigley,nan,Co
13,nan,Raskin,nan,Co
13,Blunt,Rochester,nan,Co
13,nan,Rush,nan,Co
13,nan,Schakowsky,nan,Co
13,nan,Sires,nan,Co
13,nan,Veasey,nan,Co
13,nan,Velázquez,nan,Co
13,Wasserman,Schultz,nan,Co
13,Watson,Coleman,nan,Co
14,nan,Hirono,nan,Primary
14,nan,Schumer,nan,Co
14,nan,Durbin,nan,Co
14,nan,Murray,nan,Co
14,nan,Baldwin,nan,Co
14,nan,Blumenthal,nan,Co
14,nan,Booker,nan,Co
14,nan,Brown,nan,Co
14,nan,Carper,nan,Co
14,nan,Coons,nan,Co
14,Cortez,Masto,nan,Co
14,nan,Feinstein,nan,Co
14,nan,Gillibrand,nan,Co
14,nan,Kaine,nan,Co
14,nan,Klobuchar,nan,Co
14,nan,Leahy,nan,Co
14,nan,Markey,nan,Co
14,nan,Menendez,nan,Co
14,nan,Murphy,nan,Co
14,nan,Reed,nan,Co
14,nan,Sanders,nan,Co
14,nan,Schatz,nan,Co
14,Van,Hollen,nan,Co
14,nan,Warren,nan,Co
14,nan,Wyden,nan,Co
14,nan,Franken,nan,Co
15,nan,nan,nan,Primary
15,nan,nan,nan,Co
16,nan,nan,nan,Primary
16,nan,nan,nan,Co
