,billid,firstname,lastname,state,primaryorco,billstage,chambername,legistype,civid
1907,138,,Durbin,,Co,,,,
1908,138,,Feinstein,,Co,,,,
1909,138,,Franken,,Co,,,,
1910,138,,Harris,,Co,,,,
1911,138,,Kaine,,Co,,,,
1912,138,,King,,Co,,,,
1913,138,,Klobuchar,,Co,,,,
1914,138,,Lankford,,Co,,,,
1915,138,,Lee,,Co,,,,
1916,138,,Markey,,Co,,,,
1917,138,,Merkley,,Co,,,,
1918,138,,Moran,,Co,,,,
1919,138,,Murkowski,,Co,,,,
1920,138,,Murphy,,Co,,,,
1921,138,,Murray,,Co,,,,
1922,138,,Nelson,,Co,,,,
1923,138,,Paul,,Co,,,,
1924,138,,Perdue,,Co,,,,
1925,138,,Peters,,Co,,,,
1926,138,,Rubio,,Co,,,,
1927,138,,Scott,,Co,,,,
1928,138,,Stabenow,,Co,,,,
1929,138,,Tillis,,Co,,,,
1930,138,Van,Hollen,,Co,,,,6
1931,138,,Warner,,Co,,,,
1932,138,,Warren,,Co,,,,
1933,138,,Whitehouse,,Co,,,,
1934,138,,Wyden,,Co,,,,
1935,138,,Young,,Co,,,,
1936,139,,Conyers,,Primary,,,,
1937,139,,Lawrence,,Co,,,,
1938,139,,Dingell,,Co,,,,
1939,139,,Kildee,,Co,,,,
1940,139,,Levin,,Co,,,,
1941,140,,Butterfield,,Co,ENROLLED,Representative,AN ACT,
1942,140,,Norton,,Co,ENROLLED,Representative,AN ACT,
1943,140,,Garrett,,Co,ENROLLED,Representative,AN ACT,
1944,140,Jackson,Lee,,Co,ENROLLED,Representative,AN ACT,
1945,140,,Jayapal,,Co,ENROLLED,Representative,AN ACT,
1946,140,,Tonko,,Co,ENROLLED,Representative,AN ACT,
1947,140,,Napolitano,,Co,ENROLLED,Representative,AN ACT,
1948,140,,Deutch,,Co,ENROLLED,Representative,AN ACT,
1949,140,,Pingree,,Co,ENROLLED,Representative,AN ACT,
1950,140,,Eshoo,,Co,ENROLLED,Representative,AN ACT,
1951,140,Wasserman,Schultz,,Co,ENROLLED,Representative,AN ACT,
1952,140,,Meehan,,Co,ENROLLED,Representative,AN ACT,
1953,140,,Rothfus,,Co,ENROLLED,Representative,AN ACT,
1954,140,,Kind,,Co,ENROLLED,Representative,AN ACT,
1955,140,,Peters,,Co,ENROLLED,Representative,AN ACT,
1956,140,,Velázquez,,Co,ENROLLED,Representative,AN ACT,
1957,140,,Khanna,,Co,ENROLLED,Representative,AN ACT,
1958,140,,Payne,,Co,ENROLLED,Representative,AN ACT,
1959,140,,Evans,,Co,ENROLLED,Representative,AN ACT,
1960,140,,Bonamici,,Co,ENROLLED,Representative,AN ACT,
1961,140,,Ros-Lehtinen,,Co,ENROLLED,Representative,AN ACT,
1962,140,,Comstock,,Co,ENROLLED,Representative,AN ACT,
1963,140,,Lofgren,,Co,ENROLLED,Representative,AN ACT,
1964,140,,McGovern,,Co,ENROLLED,Representative,AN ACT,
1965,140,,Moulton,,Co,ENROLLED,Representative,AN ACT,
1966,140,,DeFazio,,Co,ENROLLED,Representative,AN ACT,
1967,140,,Fitzpatrick,,Co,ENROLLED,Representative,AN ACT,
1968,140,,Donovan,,Co,ENROLLED,Representative,AN ACT,
1969,140,,Connolly,,Co,ENROLLED,Representative,AN ACT,
1970,140,,Kilmer,,Co,ENROLLED,Representative,AN ACT,
1971,140,,Lance,,Co,ENROLLED,Representative,AN ACT,
1972,141,,,,Primary,INTRODUCED,Representative,A BILL,
1973,141,,,,Co,INTRODUCED,Representative,A BILL,
1974,142,,,,Co,INTRODUCED,Senator,A BILL,
1975,143,,Warren,,Primary,,,,
1976,143,,Markey,,Co,,,,
1977,143,,Merkley,,Co,,,,
1978,143,,Feinstein,,Co,,,,
1979,143,,Durbin,,Co,,,,
1980,143,,Blumenthal,,Co,,,,
1981,143,,Gillibrand,,Co,,,,
1982,144,,Markey,,Primary,REPORTED,Senator,AN ACT,
1983,144,,King,,Co,REPORTED,Senator,AN ACT,
1984,144,Van,Hollen,,Co,REPORTED,Senator,AN ACT,6
1985,144,,Collins,,Co,REPORTED,Senator,AN ACT,
1986,145,,Johnson,,Primary,,,,
1987,145,,,,Co,,,,
1988,146,,Klobuchar,,Primary,INTRODUCED,Senator,A BILL,
1989,146,,Perdue,,Co,INTRODUCED,Senator,A BILL,
1990,146,,Hirono,,Co,INTRODUCED,Senator,A BILL,
1991,146,,Crapo,,Co,INTRODUCED,Senator,A BILL,
1992,146,,Feinstein,,Co,INTRODUCED,Senator,A BILL,
1993,147,,Baldwin,,Primary,INTRODUCED,Representative,A BILL,
1994,147,,Markey,,Co,INTRODUCED,Representative,A BILL,
1995,147,,Murray,,Co,INTRODUCED,Representative,A BILL,
1996,147,,Hirono,,Co,INTRODUCED,Representative,A BILL,
1997,147,Cortez,Masto,,Co,INTRODUCED,Representative,A BILL,
1998,147,,Gillibrand,,Co,INTRODUCED,Representative,A BILL,
1999,147,,Whitehouse,,Co,INTRODUCED,Representative,A BILL,
2000,147,,Blumenthal,,Co,INTRODUCED,Representative,A BILL,
2001,147,,Merkley,,Co,INTRODUCED,Representative,A BILL,
2002,147,,Schumer,,Co,INTRODUCED,Representative,A BILL,
2003,147,,Durbin,,Co,INTRODUCED,Representative,A BILL,
2004,147,,Carper,,Co,INTRODUCED,Representative,A BILL,
2005,147,,Klobuchar,,Co,INTRODUCED,Representative,A BILL,
2006,147,,Franken,,Co,INTRODUCED,Representative,A BILL,
2007,147,,Wyden,,Co,INTRODUCED,Representative,A BILL,
2008,147,,Feinstein,,Co,INTRODUCED,Representative,A BILL,
2009,148,,Lee,,Primary,INTRODUCED,Representative,A BILL,
2010,148,,Butterfield,,Co,INTRODUCED,Representative,A BILL,
2011,148,,DelBene,,Co,INTRODUCED,Representative,A BILL,
2012,148,,Fudge,,Co,INTRODUCED,Representative,A BILL,
2013,148,,Grijalva,,Co,INTRODUCED,Representative,A BILL,
2014,148,,Polis,,Co,INTRODUCED,Representative,A BILL,
2015,148,,Roybal-Allard,,Co,INTRODUCED,Representative,A BILL,
2016,148,,Titus,,Co,INTRODUCED,Representative,A BILL,
2017,149,,Soto,,Primary,,,,
2018,149,,Vela,,Co,,,,
2019,149,,Torres,,Co,,,,
2020,149,,Payne,,Co,,,,
2021,149,,Rosen,,Co,,,,
2022,149,,Sánchez,,Co,,,,
2023,149,,Barragán,,Co,,,,
2024,149,,Aguilar,,Co,,,,
2025,149,,Vargas,,Co,,,,
2026,149,,Correa,,Co,,,,
2027,149,,Grijalva,,Co,,,,
2028,149,,Sablan,,Co,,,,
2029,149,,Napolitano,,Co,,,,
2030,149,,Cárdenas,,Co,,,,
2031,149,,Carbajal,,Co,,,,
2032,149,,Costa,,Co,,,,
2033,149,,Norton,,Co,,,,
2034,150,,,,Primary,,,,
2035,150,,,,Co,,,,
2036,151,,,,Co,,,,
2037,152,,Hastings,,Co,INTRODUCED,Representative,A BILL,
2038,152,,Meeks,,Co,INTRODUCED,Representative,A BILL,
2039,152,,Norton,,Co,INTRODUCED,Representative,A BILL,
2040,152,,Payne,,Co,INTRODUCED,Representative,A BILL,
2041,152,,Lofgren,,Co,INTRODUCED,Representative,A BILL,
2042,152,,Serrano,,Co,INTRODUCED,Representative,A BILL,
2043,152,,McGovern,,Co,INTRODUCED,Representative,A BILL,
2044,152,,Cicilline,,Co,INTRODUCED,Representative,A BILL,
2045,152,,Rush,,Co,INTRODUCED,Representative,A BILL,
2046,152,,Lee,,Co,INTRODUCED,Representative,A BILL,
2047,152,,Moore,,Co,INTRODUCED,Representative,A BILL,
2048,152,,Bass,,Co,INTRODUCED,Representative,A BILL,
2049,152,,Espaillat,,Co,INTRODUCED,Representative,A BILL,
2050,152,Jackson,Lee,,Co,INTRODUCED,Representative,A BILL,
2051,153,,Sensenbrenner,,Co,INTRODUCED,Senator,A BILL,
