,billid,firstname,lastname,state,primaryorco,representativeid,billstage,chambername,legistype
142,33,,Carson,Indiana,Co,202,INTRODUCED,Representative,A BILL
143,33,,Johnson,Georgia,Co,0,INTRODUCED,Representative,A BILL
144,33,,Brownley,California,Co,92,INTRODUCED,Representative,A BILL
145,34,Ted,Lieu,California,Primary,378,INTRODUCED,Senator,A BILL
146,34,,Curbelo,Florida,Co,45,INTRODUCED,Senator,A BILL
147,37,,Thompson,Mississippi,Primary,155,INTRODUCED,Senator,A BILL
148,39,,Sewell,Alabama,Primary,172,,,
149,39,Judy,Chu,California,Co,388,,,
150,39,,Lewis,Georgia,Co,221,,,
151,39,,Bishop,Georgia,Co,9,,,
152,39,Brendan F,Boyle,Pennsylvania,Co,315,,,
153,39,,Brady,Pennsylvania,Co,316,,,
154,39,,Brown,Maryland,Co,304,,,
155,39,,Brownley,California,Co,92,,,
156,39,,Carson,Indiana,Co,202,,,
157,39,,Castor,Florida,Co,42,,,
158,39,,Clark,Massachusetts,Co,347,,,
159,39,,Clarke,New York,Co,330,,,
160,39,Danny K,Davis,Illinois,Co,187,,,
161,39,Danny K,Davis,Illinois,Co,158,,,
162,39,,Davis,California,Co,403,,,
163,39,Michael F,Doyle,Pennsylvania,Co,282,,,
164,39,,Frankel,Florida,Co,279,,,
165,39,,Frankel,Florida,Co,277,,,
166,39,Al,Green,Texas,Co,132,,,
167,39,Al,Green,Texas,Co,128,,,
168,39,Gene,Green,Texas,Co,132,,,
169,39,Gene,Green,Texas,Co,128,,,
170,39,,Higgins,New York,Co,290,,,
171,39,Eddie B,Johnson,Texas,Co,117,,,
172,39,Eddie B,Johnson,Texas,Co,113,,,
173,39,,Johnson,Georgia,Co,0,,,
174,39,,Kelly,Illinois,Co,177,,,
175,39,,Kuster,New Hampshire,Co,345,,,
176,39,,Larsen,Washington,Co,83,,,
177,39,,Larson,Connecticut,Co,342,,,
178,39,,Lawson,Florida,Co,249,,,
179,39,Ted,Lieu,California,Co,378,,,
180,39,Carolyn B,Maloney,New York,Co,329,,,
181,39,Carolyn B,Maloney,New York,Co,322,,,
182,39,Sean P,Maloney,New York,Co,329,,,
183,39,Sean P,Maloney,New York,Co,322,,,
184,39,,Murphy,Florida,Co,264,,,
185,39,,Price,North Carolina,Co,288,,,
186,39,,Rice,New York,Co,335,,,
187,39,,Ryan,Ohio,Co,262,,,
188,39,,Scott,Virginia,Co,52,,,
189,39,David,Scott,Georgia,Co,230,,,
190,39,David,Scott,Georgia,Co,216,,,
191,39,,Smith,Washington,Co,357,,,
192,39,,Swalwell,California,Co,361,,,
193,39,,Thompson,Mississippi,Co,155,,,
194,39,,Thompson,California,Co,354,,,
195,39,,Wilson,Florida,Co,278,,,
196,39,,Esty,Connecticut,Co,337,,,
197,40,,Sewell,Alabama,Co,172,INTRODUCED,Senator,A BILL
198,40,,Clarke,New York,Co,330,INTRODUCED,Senator,A BILL
199,40,,Kelly,Pennsylvania,Co,273,INTRODUCED,Senator,A BILL
200,40,David,Scott,Georgia,Co,230,INTRODUCED,Senator,A BILL
201,40,David,Scott,Georgia,Co,216,INTRODUCED,Senator,A BILL
202,40,Maxine,Waters,California,Co,383,INTRODUCED,Senator,A BILL
203,42,,Gonzalez,Texas,Primary,98,INTRODUCED,Representative,A BILL
204,43,,Collins,Georgia,Co,220,INTRODUCED,Representative,A BILL
205,44,,Wilson,Florida,Co,278,INTRODUCED,Representative,A BILL
206,44,,Lewis,Georgia,Co,221,INTRODUCED,Representative,A BILL
207,44,,Clarke,New York,Co,330,INTRODUCED,Representative,A BILL
208,44,,Clark,Massachusetts,Co,347,INTRODUCED,Representative,A BILL
209,45,,Brown,Maryland,Primary,304,INTRODUCED,Representative,A BILL
210,45,,Clarke,New York,Co,330,INTRODUCED,Representative,A BILL
211,45,,Wilson,Florida,Co,278,INTRODUCED,Representative,A BILL
212,56,Al,Green,Texas,Primary,132,INTRODUCED,Representative,A BILL
213,56,Al,Green,Texas,Primary,128,INTRODUCED,Representative,A BILL
214,57,,Murphy,Florida,Co,264,INTRODUCED,Representative,A BILL
215,60,Carolyn B,Maloney,New York,Primary,329,INTRODUCED,Senator,A BILL
216,60,Carolyn B,Maloney,New York,Primary,322,INTRODUCED,Senator,A BILL
217,64,,Swalwell,California,Co,361,,,
218,64,Ted,Lieu,California,Co,378,,,
219,65,,Clarke,New York,Co,330,INTRODUCED,Representative,A BILL
220,65,,Brown,Maryland,Co,304,INTRODUCED,Representative,A BILL
221,65,,Clark,Massachusetts,Co,347,INTRODUCED,Representative,A BILL
222,65,,Bishop,Georgia,Co,9,INTRODUCED,Representative,A BILL
223,65,,Esty,Connecticut,Co,337,INTRODUCED,Representative,A BILL
224,65,,Kuster,New Hampshire,Co,345,INTRODUCED,Representative,A BILL
225,65,David,Scott,Georgia,Co,230,INTRODUCED,Representative,A BILL
226,65,David,Scott,Georgia,Co,216,INTRODUCED,Representative,A BILL
227,67,,Curbelo,Florida,Co,45,,,
228,67,,Young,Alaska,Co,77,,,
229,67,Sean P,Maloney,New York,Co,329,,,
230,67,Sean P,Maloney,New York,Co,322,,,
231,67,,King,New York,Co,336,,,
232,68,,Young,Iowa,Primary,125,,,
233,68,Rodney,Davis,Illinois,Co,187,,,
234,68,Rodney,Davis,Illinois,Co,158,,,
235,68,,Joyce,Ohio,Co,261,,,
236,68,Mimi,Walters,California,Co,394,,,
237,68,,Brooks,Indiana,Co,201,,,
238,68,,King,New York,Co,336,,,
239,68,,Curbelo,Florida,Co,45,,,
240,69,,Clarke,New York,Primary,330,INTRODUCED,Senator,A BILL
241,69,,Carson,Indiana,Co,202,INTRODUCED,Senator,A BILL
242,71,,Wilson,Florida,Co,278,INTRODUCED,Senator,A BILL
243,73,,Thompson,Mississippi,Co,155,INTRODUCED,Representative,A BILL
244,75,,Collins,New York,Co,48,INTRODUCED,Senator,A BILL
245,75,,King,New York,Co,336,INTRODUCED,Senator,A BILL
246,75,,Smith,New Jersey,Co,323,INTRODUCED,Senator,A BILL
247,79,Judy,Chu,California,Primary,388,INTRODUCED,Senator,A BILL
248,82,,Clarke,New York,Co,330,INTRODUCED,Senator,A BILL
249,82,,Carson,Indiana,Co,202,INTRODUCED,Senator,A BILL
250,82,Maxine,Waters,California,Co,383,INTRODUCED,Senator,A BILL
251,82,,Lewis,Georgia,Co,221,INTRODUCED,Senator,A BILL
252,82,,Brady,Pennsylvania,Co,316,INTRODUCED,Senator,A BILL
253,82,,Wilson,Florida,Co,278,INTRODUCED,Senator,A BILL
254,89,Al,Green,Texas,Primary,132,,,
255,89,Al,Green,Texas,Primary,128,,,
256,94,,Kelly,Illinois,Primary,177,,,
257,95,,Swalwell,California,Co,361,,,
258,96,,Carson,Indiana,Co,202,INTRODUCED,Representative,A BILL
259,96,,Brown,Maryland,Co,304,INTRODUCED,Representative,A BILL
260,96,,Clarke,New York,Co,330,INTRODUCED,Representative,A BILL
261,96,,Lewis,Georgia,Co,221,INTRODUCED,Representative,A BILL
262,96,Maxine,Waters,California,Co,383,INTRODUCED,Representative,A BILL
263,96,,Bishop,Georgia,Co,9,INTRODUCED,Representative,A BILL
264,96,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Representative,A BILL
265,96,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Representative,A BILL
266,96,,Scott,Virginia,Co,52,INTRODUCED,Representative,A BILL
267,96,,Thompson,Mississippi,Co,155,INTRODUCED,Representative,A BILL
268,96,Danny K,Davis,Illinois,Co,187,INTRODUCED,Representative,A BILL
269,96,Danny K,Davis,Illinois,Co,158,INTRODUCED,Representative,A BILL
270,96,David,Scott,Georgia,Co,230,INTRODUCED,Representative,A BILL
271,96,David,Scott,Georgia,Co,216,INTRODUCED,Representative,A BILL
